id,username,date,time,tweet,user_id,timezone,mentions,hashtags,replies_count,likes_count
1322569025902305280,eynews,2020-10-31,16:00:02,"Prior to #COVID19, only 40% of boards believed their organization’s enterprise risk management was effective in managing atypical and emerging risks. How has the pandemic shifted the board’s approach to risk oversight? Find out more:  https://t.co/S5y40lOq4x #BoardMatters  https://t.co/298NDdfEhR",70001932,+0000,[],"['covid19', 'boardmatters']",0,10
1322553916651757571,eynews,2020-10-31,15:00:00,"Technology is central to the evolution of HR, as it can deliver people experiences that enable and inspire employees. Discover how you can rethink your HR operating model. #ReframeYourFuture",70001932,+0000,[],['reframeyourfuture'],0,26
1322493522432372739,eynews,2020-10-31,11:00:01,Looking far ahead after a period of unprecedented change is essential for any organization anticipating a long-term future. Find out how you can #ReframeYourFuture. #BetterWorkingWorld,70001932,+0000,[],"['reframeyourfuture', 'betterworkingworld']",0,7
1322448220643946496,eynews,2020-10-31,08:00:00,"Adopting a circular economy will bring the jobs, savings and income cities need to recover from the pandemic. Explore how you can build a more sustainable and resilient future. #BetterWorkingWorld",70001932,+0000,[],['betterworkingworld'],0,16
1322206675756027904,eynews,2020-10-30,16:00:11,"At the @MilkenInstitute Global Conference, @KateBartonEY shared her views on how businesses can prepare for the changes in tax processes and its impact in the future. #MIGlobal #BetterWorkingWorld  https://t.co/M5wUsC08og  https://t.co/rSgjbjNhPs",70001932,+0000,"[{'screen_name': 'milkeninstitute', 'name': 'milken institute', 'id': '16373878'}, {'screen_name': 'katebartoney', 'name': 'kate barton', 'id': '2398000598'}]","['miglobal', 'betterworkingworld']",0,13
1322191536315138049,eynews,2020-10-30,15:00:02,Actions you take today could reframe the future of your whole organization. Discover the best route to transform your business. #ReframeYourFuture #BetterWorkingWorld,70001932,+0000,[],"['reframeyourfuture', 'betterworkingworld']",0,24
1322131132499066881,eynews,2020-10-30,11:00:00,"As businesses open, there is an opportunity to reimagine and transform. Explore how companies need to think, plan, and respond in the wake of the pandemic. #BetterWorkingWorld",70001932,+0000,[],['betterworkingworld'],1,71
1322085835752103936,eynews,2020-10-30,08:00:01,"With a rapid shift in value to e-commerce, biz leaders must ensure their organizations are continually challenging all their assumptions about what the #digital consumer wants. Explore how you can continue to meet the needs of your customers. #BetterWorkingWorld",70001932,+0000,[],"['digital', 'betterworkingworld']",0,17
1321829140920782849,eynews,2020-10-29,15:00:00,"Due to COVID-19, consumer behavior has changed for the years to come. Here are 3 actions leaders should prioritize today:  1. Reshape your portfolio  2. Provide customer journeys 3. Create transparency #ReframeYourFuture #BetterWorkingWorld",70001932,+0000,[],"['reframeyourfuture', 'betterworkingworld']",0,9
1321768748382998528,eynews,2020-10-29,11:00:01,Leaders need to respond to #COVID19 with careful planning to help them adapt as the situation evolves. Explore our insights on how you can think strategically and plan efficiently. #BetterWorkingWorld,70001932,+0000,[],"['covid19', 'betterworkingworld']",2,36
1321723446489976832,eynews,2020-10-29,08:00:00,"While companies are increasingly turning to data-driven innovation, they also need to focus on new processes to sustain a strong innovation pipeline. Find out how you can plan for the now, next, and beyond. #BetterWorkingWorld",70001932,+0000,[],['betterworkingworld'],0,9
1321466757341741058,eynews,2020-10-28,15:00:01,"To recover through the pandemic and what’s next, organizations must be able to plan the unthinkable and identity the steps needed to build a #BetterWorkingWorld. #ReframeYourFuture",70001932,+0000,[],"['betterworkingworld', 'reframeyourfuture']",1,10
1321436591815012352,eynews,2020-10-28,13:00:09,"We're looking forward to our EY #Blockchain Virtual Summit Series. We'll discuss where the industry will go next and how 2021 will build upon the acceleration we’ve seen this year. Available in multiple languages, register here:  https://t.co/pjPDzjvb9X #EYBlockchain  https://t.co/eF9ssGmr2C",70001932,+0000,[],"['blockchain', 'eyblockchain']",1,10
