id,username,date,time,tweet,user_id,timezone,mentions,hashtags,replies_count,likes_count
1322166400794927106,pwc,2020-10-30,13:20:09,The #5G-enabled factory can connect just about anything. Explore smart 5G-powered manufacturing  https://t.co/McYJdov9TD  https://t.co/P3d2hNz2aZ,40937524,+0000,[],['5g'],0,17
1322075797855916033,pwc,2020-10-30,07:20:07,"In dealing with COVID-19, the use of technology was a critical part of our response to our people, our stakeholders &amp; the communities in which we live and work. @Bob_Mortiz talks about it here.  https://t.co/mXdJVEHcm8 Watch. #TeamPwC  https://t.co/VjYxl2l5yQ",40937524,+0000,[],['teampwc'],0,28
1321892098405240839,pwc,2020-10-29,19:10:10,"As a global network of firms operating locally in 155 countries around the world, we share knowledge, skills and resources to provide quality services to our clients. Read more about our network in our Annual Review.  https://t.co/svPBThha4C #TeamPwC  https://t.co/UbIom66czt",40937524,+0000,[],['teampwc'],0,12
1321882297252106240,pwc,2020-10-29,18:31:13,"In case you missed it: our Global Chairman @Bob_Moritz spoke at the @wef #JobsReset Summit, 22 Oct., about how to accelerate the “reskilling revolution” for 1 billion workers at risk of permanent displacement. See a replay here:  https://t.co/NT55XhHcuz",40937524,+0000,"[{'screen_name': 'bob_moritz', 'name': 'bob moritz', 'id': '2419427275'}, {'screen_name': 'wef', 'name': 'world economic forum', 'id': '5120691'}]",['jobsreset'],0,13
1321854332053180422,pwc,2020-10-29,16:40:06,#Cloud accounting can help sharpen your processes and generate powerful insights for growth. See 5 key ways it can help.  https://t.co/fZ6EdwOSiP #SmallBusinessSolutions  https://t.co/z2ZTLWvztL,40937524,+0000,[],"['cloud', 'smallbusinesssolutions']",0,13
1321803998911959041,pwc,2020-10-29,13:20:05,Using lessons learned from previous recessions to survive and thrive in the latest crisis. Join us at the virtual PwCxSlush event 24 Nov. to learn more.  https://t.co/NcDG8EamPZ  https://t.co/Vv6SCuoiQZ,40937524,+0000,[],[],0,15
1321490692779266048,pwc,2020-10-28,16:35:07,"How can companies operate to benefit not just shareholders, but constituents? #10Years2Midnight offers a case study from the steel industry. Order it here.  https://t.co/IGh91JOCT2  https://t.co/TXiOWbBBKY",40937524,+0000,[],['10years2midnight'],1,9
1321447908907077634,pwc,2020-10-28,13:45:07,"How might #5G’s applications -- boosted by advances in robotics, IoT and AI -- transform the #healthcare ecosystem? Take a look:  https://t.co/QfJSKOzV6U  https://t.co/w8spBrXrvJ",40937524,+0000,[],"['5g', 'healthcare']",1,15
1321242805038157832,pwc,2020-10-28,00:10:06,"From birth certificates to drivers licenses, #blockchain offers a safe, secure place for online information. Our new report shares the details.  https://t.co/jeNpmQBQgv #TimeForTrust  https://t.co/9YLrhXtsJe",40937524,+0000,[],"['blockchain', 'timefortrust']",2,33
1321168580122189835,pwc,2020-10-27,19:15:10,"Driving innovation across our network is an important way we create value for our clients. In FY20, we brought over 50 innovative new ventures and products to the market. Learn more in our Global Annual Review.  https://t.co/thPnNH1oxY #TeamPwC  https://t.co/ZG9PtiXoS4",40937524,+0000,[],['teampwc'],0,19
1321128394105540612,pwc,2020-10-27,16:35:29,"Home-based #entertainment, appetite for immersive content, investment in self-care — plus other trends in E&amp;M consumption resulting from COVID-19. Details in @stratandbiz.  https://t.co/Ex2CYMsI6P  https://t.co/DPoU4WRl56",40937524,+0000,"[{'screen_name': 'stratandbiz', 'name': 'strategy+business', 'id': '365495044'}]",['entertainment'],0,9
1321106927020134401,pwc,2020-10-27,15:10:11,"When #COVID19 cases rose in foreign worker dormitories in Singapore, our Dr. Zubin Daruwalla &amp; his team piloted an integrated #ContactTracer to track real time location &amp; social distancing data to curb its spread. Learn more about this story. #TeamPwC  https://t.co/2cWjRfsv74  https://t.co/yxnUOoXWSY",40937524,+0000,[],"['covid19', 'contacttracer', 'teampwc']",0,7
1321095162597199873,pwc,2020-10-27,14:23:26,"COVID-19 has had a tremendous impact, deeply affecting all of us, including many of our stakeholders &amp; people at @PwC. @Bob_Moritz talks about how we’ve responded. Watch here.  https://t.co/mXdJVEHcm8 #PwCProud  https://t.co/FpWaM1N4N4",40937524,+0000,"[{'screen_name': 'pwc', 'name': 'pwc', 'id': '40937524'}, {'screen_name': 'bob_moritz', 'name': 'bob moritz', 'id': '2419427275'}]",['pwcproud'],0,4
1321080590683279360,pwc,2020-10-27,13:25:31,What can the global business community do to prepare for the next crisis post-COVID19? Share your take in our Global Crisis Survey 2021.  https://t.co/fRfnAGvngC #CrisisResponse #CrisisManagement  https://t.co/SjKTMErObG,40937524,+0000,[],"['crisisresponse', 'crisismanagement']",0,6
1321008734840250369,pwc,2020-10-27,08:40:00,Our city resilience framework sets out a series of short-term actions for cities to prepare for the next future shock. Explore it here.  https://t.co/dk6zDt0XvQ  https://t.co/djjPQV6MF3,40937524,+0000,[],[],0,12
1320875420632440833,pwc,2020-10-26,23:50:15,Cybersecurity for #5G networks: Keeping them secure will be key to realising their benefits. Learn more:  https://t.co/McYJdov9TD  https://t.co/Wzg6fCOrZE,40937524,+0000,[],['5g'],0,17
1320802191309942784,pwc,2020-10-26,18:59:16,"Think about your #company’s success like a fitness journey. @PwCUS’s digital leaders @tomp1975, Shirin Toor, &amp; @dlclarke share how a BXT framework can get your company into shape.  https://t.co/mIKyYe4SPt",40937524,+0000,"[{'screen_name': 'pwcus', 'name': 'pwc us', 'id': '24636272'}, {'screen_name': 'tomp1975', 'name': 'tom puthiyamadam', 'id': '731626058'}, {'screen_name': 'dlclarke', 'name': 'cxo david clarke', 'id': '14188820'}]",['company'],0,17
1320744545626263557,pwc,2020-10-26,15:10:12,"How might the #FinancialServices industry secure their tomorrow, today? 7 macro trends from our @garvey_jp here.  https://t.co/58j55D2ix3 #ReinventtheFuture #FutureFS  https://t.co/GUhH0dgNvD",40937524,+0000,"[{'screen_name': 'garvey_jp', 'name': 'john garvey', 'id': '441996004'}]","['financialservices', 'reinventthefuture', 'futurefs']",0,10
1320735964403294208,pwc,2020-10-26,14:36:06,In case you missed it: our Global Chairman @Bob_Moritz spoke at the recent @wef #JobsReset Summit about how to accelerate the “reskilling revolution” for 1 billion workers at risk of permanent displacement. See a replay here:  https://t.co/NT55XhHcuz  https://t.co/v1WOiwqpAk,40937524,+0000,"[{'screen_name': 'bob_moritz', 'name': 'bob moritz', 'id': '2419427275'}, {'screen_name': 'wef', 'name': 'world economic forum', 'id': '5120691'}]",['jobsreset'],0,18
1320719956795920384,pwc,2020-10-26,13:32:30,Focusing on inclusivity and environmental sustainability is key for us to support people and organisations in tackling today’s most pressing societal challenges. Details in our Global Annual Review.  https://t.co/4rQuxI2wbN #togetherwesolve #TeamPwC  https://t.co/wqAv4ktenh,40937524,+0000,[],"['togetherwesolve', 'teampwc']",0,19
1320691150152413187,pwc,2020-10-26,11:38:02,5 ways accounting technology can help you unlock the power of your business data. See our #SmallBusinessSolutions eBook.  https://t.co/fZ6EdwOSiP  https://t.co/5anLBuLsia,40937524,+0000,[],['smallbusinesssolutions'],0,16
1320643872683413505,pwc,2020-10-26,08:30:10,"The emerging face of post-COVID-19 cybercrime: fake news, phishing, malware &amp; ransomware attacks. Better protections for citizens are needed now more than ever. Specialists weigh in:  https://t.co/t16Y2UtN3l @T20Solutions  https://t.co/MNDEQxHu4d",40937524,+0000,"[{'screen_name': 't20solutions', 'name': 't20 saudi arabia', 'id': '933014124698787842'}]",[],0,13
1319727830322864128,pwc,2020-10-23,19:50:08,#Blockchain has evolved over the past decade. A lot. And an increasing number of institutions are seeking ways to adopt it. Details in #TimeForTrust:  https://t.co/jeNpmQBQgv  https://t.co/vIRnC7voh4,40937524,+0000,[],"['blockchain', 'timefortrust']",0,28
