id,username,date,time,tweet,user_id,timezone,mentions,hashtags,replies_count,likes_count,retweets_count,replies_count
1339863240528912384,eynews,2020-12-18,14:51:04,"As companies start to embrace the world of touchless interfaces, or zero UI, we explore some of the challenges faced. What do you think is the biggest challenge to implementation? #BetterWorkingWorld #touchless #technology",70001932,+0530,[],"['betterworkingworld', 'touchless', 'technology']",0,2,1,0
1339586918950957057,eynews,2020-12-17,20:33:04,"To keep pace with change and create long term value, businesses should aim to emulate the transformation leaders.  Find out more, including interactive charts to explore the study.  https://t.co/VjN72cgIQ2   #TransformationRealized (7/7)  https://t.co/fngWftwJla",70001932,+0530,[],['transformationrealized'],0,4,0,0
1339586654885953538,eynews,2020-12-17,20:32:01,4. Leveraging data for agility 5. Innovating through ecosystems 6. Activating governance for new tech  #TransformationRealized (6/7)  https://t.co/8e9awFNiZq,70001932,+0530,[],['transformationrealized'],1,6,0,1
1339586451785220096,eynews,2020-12-17,20:31:13,These 3 focus areas are reflected in the 6 habits of digital transformation leaders: 1. Putting customers first 2. Nurturing new talent 3. Accelerating use of AI  #TransformationRealized (5/7),70001932,+0530,[],['transformationrealized'],1,3,1,1
1339586332071325697,eynews,2020-12-17,20:30:44,Companies leading in transformation typically typically focus on three areas: 1. Radical commitment to customer centricity &amp; employee engagement 2. Deploying technology much faster 3. Being nimble &amp; implementing changes to existing business models  #TransformationRealized (4/7)  https://t.co/4Fl2jcfdCV,70001932,+0530,[],['transformationrealized'],1,1,2,1
1339581514158239753,eynews,2020-12-17,20:11:35,More than half (53%) of transformation leaders will invest in AI and cloud in the next two years.    #TransformationRealized (3/7)  https://t.co/wNufsWZmLX,70001932,+0530,[],['transformationrealized'],1,2,0,1
1339581142635147266,eynews,2020-12-17,20:10:07,"Transformation leaders are prioritizing a range of technology for the next two years, with nearly half – 49% focusing on IoT.   #TransformationRealized (2/7)  https://t.co/YDTiX4SbwC",70001932,+0530,[],['transformationrealized'],1,1,0,1
1339580902561607681,eynews,2020-12-17,20:09:10,In the midst of the holiday shopping it’s worth noting that consumer &amp; retail companies are among those progressing in the transformation of their business.   But what technology is being prioritized by digital transformation leaders?   #TransformationRealized a THREAD. (1/7)  https://t.co/IQ1zpMbjfA,70001932,+0530,[],['transformationrealized'],1,12,1,1
1339540880240340992,eynews,2020-12-17,17:30:07,"We’ve achieved our pledge to become carbon neutral by the end of 2020.  It’s an important milestone and the next step on our #sustainability journey as we continue to build a #BetterWorkingWorld by driving long-term, sustainable growth for all.   https://t.co/Npo5DaYBK7  https://t.co/yS1DsB6WPY",70001932,+0530,[],"['sustainability', 'betterworkingworld']",0,55,21,0
1339493554184364033,eynews,2020-12-17,14:22:04,"To make sure sustainable recovery plans succeed, governments has to find focus on four things. 1. Incentivize reform 2. Have a joined-up approach 3. Make the green recovery fair 4. Forge lasting partnerships #BetterWorkingWorld",70001932,+0530,[],['betterworkingworld'],0,11,3,0
