id,username,date,time,tweet,user_id,timezone,mentions,hashtags,replies_count,likes_count,retweets_count,replies_count.1,urls,cleaned_review,sentiment_polarity,sentiment,sentiment_int
1322569025902305280,eynews,2020-10-31,21:30:02,"Prior to #COVID19, only 40% of boards believed their organization’s enterprise risk management was effective in managing atypical and emerging risks. How has the pandemic shifted the board’s approach to risk oversight? Find out more:  https://t.co/S5y40lOq4x #BoardMatters  https://t.co/298NDdfEhR",70001932,530,[],"['COVID19', 'BoardMatters']",0,9,2,0,['http://spr.ly/6010GAYnn'],prior to covid19 only 40 of boards believed their organizations enterprise risk management was effective in managing atypical and emerging risks how has the pandemic shifted the boards approach to risk oversight find out more boardmatters,0.22000000000000003,Positive,1
1322553916651757571,eynews,2020-10-31,20:30:00,"Technology is central to the evolution of HR, as it can deliver people experiences that enable and inspire employees. Discover how you can rethink your HR operating model. #ReframeYourFuture",70001932,530,[],['ReframeYourFuture'],0,26,5,0,[],technology is central to the evolution of hr as it can deliver people experiences that enable and inspire employees discover how you can rethink your hr operating model reframeyourfuture,0.0,Neutral,0
1322493522432372739,eynews,2020-10-31,16:30:01,Looking far ahead after a period of unprecedented change is essential for any organization anticipating a long-term future. Find out how you can #ReframeYourFuture. #BetterWorkingWorld,70001932,530,[],"['ReframeYourFuture', 'BetterWorkingWorld']",0,7,2,0,[],looking far ahead after a period of unprecedented change is essential for any organization anticipating a longterm future find out how you can reframeyourfuture betterworkingworld,0.175,Positive,1
1322448220643946496,eynews,2020-10-31,13:30:00,"Adopting a circular economy will bring the jobs, savings and income cities need to recover from the pandemic. Explore how you can build a more sustainable and resilient future. #BetterWorkingWorld",70001932,530,[],['BetterWorkingWorld'],0,16,3,0,[],adopting a circular economy will bring the jobs savings and income cities need to recover from the pandemic explore how you can build a more sustainable and resilient future betterworkingworld,0.25,Positive,1
1322206675756027904,eynews,2020-10-30,21:30:11,"At the @MilkenInstitute Global Conference, @KateBartonEY shared her views on how businesses can prepare for the changes in tax processes and its impact in the future. #MIGlobal #BetterWorkingWorld  https://t.co/M5wUsC08og  https://t.co/rSgjbjNhPs",70001932,530,"['MilkenInstitute', 'KateBartonEY']","['MIGlobal', 'BetterWorkingWorld']",0,13,4,0,['http://spr.ly/6019GhrJP'],at the milkeninstitute global conference katebartoney shared her views on how businesses can prepare for the changes in tax processes and its impact in the future miglobal betterworkingworld,0.0,Neutral,0
1322191536315138049,eynews,2020-10-30,20:30:02,Actions you take today could reframe the future of your whole organization. Discover the best route to transform your business. #ReframeYourFuture #BetterWorkingWorld,70001932,530,[],"['ReframeYourFuture', 'BetterWorkingWorld']",0,24,0,0,[],actions you take today could reframe the future of your whole organization discover the best route to transform your business reframeyourfuture betterworkingworld,0.39999999999999997,Positive,1
1322131132499066881,eynews,2020-10-30,16:30:00,"As businesses open, there is an opportunity to reimagine and transform. Explore how companies need to think, plan, and respond in the wake of the pandemic. #BetterWorkingWorld",70001932,530,[],['BetterWorkingWorld'],1,70,19,1,[],as businesses open there is an opportunity to reimagine and transform explore how companies need to think plan and respond in the wake of the pandemic betterworkingworld,0.0,Neutral,0
1322085835752103936,eynews,2020-10-30,13:30:01,"With a rapid shift in value to e-commerce, biz leaders must ensure their organizations are continually challenging all their assumptions about what the #digital consumer wants. Explore how you can continue to meet the needs of your customers. #BetterWorkingWorld",70001932,530,[],"['digital', 'BetterWorkingWorld']",0,17,5,0,[],with a rapid shift in value to ecommerce biz leaders must ensure their organizations are continually challenging all their assumptions about what the digital consumer wants explore how you can continue to meet the needs of your customers betterworkingworld,0.2333333333333333,Positive,1
1321829140920782849,eynews,2020-10-29,20:30:00,"Due to COVID-19, consumer behavior has changed for the years to come. Here are 3 actions leaders should prioritize today:  1. Reshape your portfolio  2. Provide customer journeys 3. Create transparency #ReframeYourFuture #BetterWorkingWorld",70001932,530,[],"['ReframeYourFuture', 'BetterWorkingWorld']",0,7,2,0,[],due to covid19 consumer behavior has changed for the years to come here are 3 actions leaders should prioritize today 1 reshape your portfolio 2 provide customer journeys 3 create transparency reframeyourfuture betterworkingworld,-0.125,Negative,-1
1321768748382998528,eynews,2020-10-29,16:30:01,Leaders need to respond to #COVID19 with careful planning to help them adapt as the situation evolves. Explore our insights on how you can think strategically and plan efficiently. #BetterWorkingWorld,70001932,530,[],"['COVID19', 'BetterWorkingWorld']",2,35,7,2,[],leaders need to respond to covid19 with careful planning to help them adapt as the situation evolves explore our insights on how you can think strategically and plan efficiently betterworkingworld,-0.1,Negative,-1
